order_request_id,created_day_id,created_time,pickup_location_region
0,1,00:12:11.793000,1
1,1,00:17:19.546000,1
2,1,00:18:50.404000,1
3,1,00:41:45.071000,4
4,1,00:50:47.141000,1
5,1,01:30:51.620000,1
6,1,02:17:21.173000,3
7,1,02:38:59.584000,2
8,1,02:41:51.901000,1
9,1,02:45:48.144000,1
10,1,03:13:23.851000,2
11,1,03:26:32.168000,2
12,1,03:43:09.364000,2
13,1,04:19:39.866000,1
14,1,06:15:10.239000,3
15,1,06:25:24.734000,4
16,1,07:00:23.362000,3
17,1,07:09:21.664000,4
18,1,07:25:08.880000,1
19,1,07:39:55.829000,4
20,1,07:40:57.771000,2
21,1,07:41:20.997000,2
22,1,07:45:14.558000,1
23,1,07:53:40.746000,2
24,1,07:58:04.851000,4
25,1,08:05:51.850000,2
26,1,08:07:12.812000,2
27,1,08:10:21.638000,4
28,1,08:11:21.204000,2
29,1,08:14:35.232000,2
30,1,08:17:49.194000,2
31,1,08:22:25.219000,2
32,1,08:22:43.956000,2
33,1,08:23:20.074000,2
34,1,08:23:47.092000,2
35,1,08:23:59.341000,2
36,1,08:26:34.350000,2
37,1,08:32:07.802000,1
38,1,08:32:24.939000,2
39,1,08:35:48.293000,2
40,1,08:36:55.755000,2
41,1,08:38:15.316000,1
42,1,08:40:19.721000,1
43,1,08:43:19.681000,1
44,1,08:44:16.102000,1
45,1,08:46:44.312000,4
46,1,08:47:52.983000,2
47,1,08:49:40.156000,2
48,1,08:50:38.016000,2
49,1,08:54:49.708000,2
50,1,08:56:24.916000,4
51,1,08:57:27.924000,4
52,1,08:58:15.767000,1
53,1,09:00:48,2
54,1,09:05:19.749000,3
55,1,09:05:46.549000,1
56,1,09:06:13.176000,2
57,1,09:06:46.574000,1
58,1,09:07:48.215000,2
59,1,09:09:00.923000,1
60,1,09:11:37.237000,2
61,1,09:13:11.322000,4
62,1,09:14:08.808000,2
63,1,09:15:35.972000,1
64,1,09:18:30.759000,1
65,1,09:20:52.429000,2
66,1,09:20:55.862000,2
67,1,09:24:12.926000,2
68,1,09:27:53.374000,4
69,1,09:37:07.485000,4
70,1,09:39:29.185000,1
71,1,09:39:30.143000,1
72,1,09:42:25.145000,2
73,1,09:45:56.703000,1
74,1,09:53:48.343000,3
75,1,09:55:10.088000,1
76,1,09:57:23.913000,2
77,1,09:59:23.605000,2
78,1,09:59:57.548000,1
79,1,10:01:06.051000,5
80,1,10:01:50.683000,2
81,1,10:04:11.331000,4
82,1,10:06:05.592000,2
83,1,10:08:06.599000,4
84,1,10:08:30.544000,1
85,1,10:12:49.409000,2
86,1,10:13:34.791000,1
87,1,10:14:55.553000,4
88,1,10:15:52.216000,2
89,1,10:17:10.501000,2
90,1,10:17:59.092000,2
91,1,10:22:28.048000,1
92,1,10:23:23.733000,2
93,1,10:23:40.815000,2
94,1,10:24:14.356000,5
95,1,10:25:52.882000,2
96,1,10:28:48.733000,2
97,1,10:30:07.160000,3
98,1,10:31:05.725000,4
99,1,10:33:39.040000,1
100,1,10:35:18.173000,1
101,1,10:35:57.625000,2
102,1,10:36:28.214000,1
103,1,10:37:11.696000,1
104,1,10:37:37.886000,1
105,1,10:39:05.718000,2
106,1,10:42:38.959000,1
107,1,10:43:35.933000,2
108,1,10:45:41.348000,2
109,1,10:48:32.227000,2
110,1,10:49:00.724000,2
111,1,10:49:03.291000,4
112,1,10:51:30.279000,2
113,1,10:55:05.131000,1
114,1,11:08:27.120000,1
115,1,11:12:35.409000,1
116,1,11:15:43.534000,2
117,1,11:17:01.853000,2
118,1,11:17:44.968000,4
119,1,11:21:34.326000,2
120,1,11:22:04.809000,4
121,1,11:29:22.719000,4
122,1,11:30:52.125000,2
123,1,11:31:26.562000,1
124,1,11:34:01.841000,4
125,1,11:35:27.725000,1
126,1,11:38:00.239000,2
127,1,11:39:03.560000,2
128,1,11:40:40.052000,4
129,1,11:41:13.792000,1
130,1,11:42:47.149000,2
131,1,11:42:53.492000,2
132,1,11:43:44.621000,1
133,1,11:44:16.768000,4
134,1,11:46:08.899000,3
135,1,11:46:11.565000,1
136,1,11:46:44.578000,2
137,1,11:48:52.361000,1
138,1,11:50:56.297000,2
139,1,11:51:31.474000,1
140,1,11:53:25.836000,2
141,1,11:53:56.373000,2
142,1,11:54:23.620000,2
143,1,11:54:45.347000,2
144,1,11:57:09.963000,1
145,1,11:58:04.552000,2
146,1,12:02:54.830000,2
147,1,12:03:46.289000,4
148,1,12:05:19.024000,2
149,1,12:05:21.790000,1
150,1,12:05:31.208000,4
151,1,12:06:19.825000,4
152,1,12:06:48.710000,4
153,1,12:09:56.872000,2
154,1,12:11:07.748000,1
155,1,12:11:11.976000,1
156,1,12:13:17.994000,4
157,1,12:13:19.794000,2
158,1,12:14:28.891000,1
159,1,12:14:33.594000,2
160,1,12:15:34.748000,3
161,1,12:15:48.348000,4
162,1,12:18:42.226000,4
163,1,12:19:35.370000,2
164,1,12:24:33.289000,3
165,1,12:28:32.473000,4
166,1,12:31:14.394000,2
167,1,12:31:15.689000,2
168,1,12:32:21.540000,4
169,1,12:32:24.609000,2
170,1,12:32:29.401000,4
171,1,12:32:36.244000,4
172,1,12:32:40.500000,2
173,1,12:32:45.659000,1
174,1,12:33:55.271000,2
175,1,12:34:38.179000,2
176,1,12:35:49.302000,3
177,1,12:36:40.639000,1
178,1,12:38:20.941000,2
179,1,12:40:04.340000,1
180,1,12:41:59.013000,4
181,1,12:42:21.794000,2
182,1,12:43:32.113000,2
183,1,12:45:10.733000,2
184,1,12:45:34.303000,1
185,1,12:46:19.002000,2
186,1,12:46:47.524000,1
187,1,12:47:19.567000,2
188,1,12:47:40.901000,1
189,1,12:49:32.777000,2
190,1,12:49:50.339000,1
191,1,12:50:55.961000,3
192,1,12:51:39.372000,2
193,1,12:52:37.845000,2
194,1,12:52:45.180000,4
195,1,12:55:20.849000,2
196,1,12:55:38.863000,3
197,1,13:01:40.082000,3
198,1,13:04:42.719000,2
199,1,13:05:16.203000,4
200,1,13:06:30.790000,3
201,1,13:07:22.991000,1
202,1,13:08:31.511000,4
203,1,13:09:00.587000,2
204,1,13:09:44.360000,4
205,1,13:10:45.673000,2
206,1,13:12:07.073000,3
207,1,13:12:10.983000,2
